id,name,experience_level,hackathons_done,objective,preferred_languages,friend_registration,preferred_team_size,programming_skills,interest_in_challenges
2ebad15c-c0ef-4c04-ba98-c5d98403a90c,Sara Vilar,Intermediate,2,"I'm super stoked to be participating in this datathon! My goal is to soak up the vibes, learn from others, and have an absolute blast. I want to join in on as many events and workshops as I can, learn new skills and insights, and make friends with like-minded peeps. I'm more about having fun and making connections than about trying to win (although, I do love a good challenge!). My objective is to leave this datathon feeling refreshed, inspired, and with new friendships to look back on. Bring it on!","['English', 'Catalan']",[],4,"{'Data Visualization': 2, 'Flask': 4, 'React Native': 6, 'UI/UX Design': 3, 'TypeScript': 3, 'Git': 2, 'React': 5, 'MongoDB': 2, 'HTML/CSS': 5}","['Mango Challenge', 'Restb.ai Challenge', 'AED Challenge']"
a00428a2-14a2-4fb1-838a-22394778ec88,Aurora Wells,Intermediate,5,"For me, this datathon is all about leveling up my skills. As a third-year student, I'm looking to dive deeper into data analysis and visualization, and this is the perfect opportunity to learn from industry experts and get hands-on experience. My goal is to take what I learn here and apply it to my final year project, so I can walk away with some concrete skills that I can use in my future career. I'm not too fussed about the competition, but I am excited to challenge myself and come away feeling more confident in my abilities.",['English'],[],3,"{'React': 4, 'PostgreSQL': 5, 'Figma': 7, 'SQL': 2}","['AED Challenge', 'Mango Challenge', 'Restb.ai Challenge']"
ab4b5790-0e6b-43db-bbaa-8670554f0cc8,Anaïs Giacomo,Intermediate,2,"Hey! I'm Anaïs, and I'm all about growth and learning. For this datathon, I'm aiming to dive deep into new programming languages and data analytics tools. I'm eager to learn from others, attend workshops and mentorship sessions, and absorb as much knowledge as I can. My objective is to improve my skills, expand my repertoire, and take away practical experiences that I can apply to my upcoming projects and career. I'm not worried about competing; I'm more focused on fostering connections and exchanging ideas to become a better developer.","['English', 'Spanish', 'French', 'German', 'Italian']",[],4,"{'PostgreSQL': 4, 'TensorFlow': 5, 'Computer Vision': 6, 'Agile Methodology': 3}","['Restb.ai Challenge', 'Mango Challenge', 'AED Challenge']"
cda2fafe-4b1e-4581-9fe0-1fb6d3e79aa3,Luna Solà.,Intermediate,2,"I'm all about leveling up my skills at this datathon! My goal is to dive deeper into machine learning and AI, and come out with tangible projects that demonstrate my growth. I'm not too worried about winning; I'd rather focus on learning from others, taking calculated risks, and pushing myself outside of my comfort zone. I'm excited to learn from the experts, get feedback on my work, and maybe even discover new areas of interest. Bring on the data and the challenges - I'm ready to soak it all in and come out a better developer on the other side!","['English', 'Catalan']","['13a8194a-79a9-4004-8711-e6d89efa0014', '2a4877f6-c699-46a6-971f-1d1c75977ae8']",4,"{'IoT': 4, 'HTML/CSS': 6, 'MongoDB': 5, 'Blockchain': 6, 'AWS/Azure/GCP': 2, 'Figma': 6}","['Restb.ai Challenge', 'AED Challenge', 'Mango Challenge']"
624f4677-d31a-4ecf-a7de-5df7392f9579,Evelyn Winters,Intermediate,2,"I'm coming to this datathon to put my skills to the test and bring home that first-place trophy! I've got my eyes set on the prize and I'm not leaving until I win. I've honed my coding skills in hackathons before, and I'm ready to take on new challenges and push myself to the limit. My main goal is to come out on top, no matter what it takes. If that means sacrificing some fun to perfect my craft, then so be it. I'm all about competitive success - that's what gets my adrenaline pumping and my heart racing.",['English'],[],4,"{'iOS Development': 2, 'Flask': 6, 'TensorFlow': 2, 'AWS/Azure/GCP': 3, 'SQL': 2, 'Computer Vision': 4, 'MongoDB': 2, 'JavaScript': 6}","['Restb.ai Challenge', 'AED Challenge', 'Mango Challenge']"
e3464b47-0c0a-41d7-9750-a21adb889205,Emily Rachel Winston,Intermediate,4,"For me, it's all about growth and development. I'm looking to push my programming skills to the next level and expand my knowledge in areas I'm not too familiar with. I want to take advantage of the resources and expertise available during the datathon to improve my coding chops and get feedback from experienced mentors. My objective is to tackle complex challenges, learn from mistakes, and come out of this event feeling more confident and prepared to tackle real-world projects. Bring on the coding challenges!",['English'],[],4,"{'SQL': 6, 'Blockchain': 3, 'pytorch': 4, 'python': 4, 'Agile': 7, 'android': 4, 'react': 5}","['Restb.ai Challenge', 'AED Challenge', 'Mango Challenge']"
97a555b7-99a5-4a5e-8f47-631d5507e25a,Ruby Wynter,Intermediate,3,"Hey there! I'm Ruby, and my objective for this datathon is all about having a blast! I'm looking forward to making some awesome new friends and connections in the datathon community. I want to participate in as many events and activities as possible, whether it's a workshop, a meetup, or even just grabbing food with fellow participants. I'm all about soaking up the atmosphere and having a fun, stress-free experience. If I learn some new skills or make meaningful connections along the way, that's just the icing on the cake!",['English'],[],4,"{'iOS Development': 4, 'TensorFlow': 4, 'Rust': 7, 'Flutter': 5, 'Figma': 7}","['Mango Challenge', 'AED Challenge', 'Restb.ai Challenge']"
725b1704-4da0-423d-b51a-b465f2a41906,Ana Isabel Serraño.,Intermediate,5,"Here's my brief objective:

My goal for this datathon is to come out on top. I'm a competitor at heart, and the thrill of winning is what drives me. I've been involved in five hackathons so far, and I know what it takes to produce a winning project. I'm eager to take on the challenge, outdo my peers, and take home the top prize. I'll be putting in long hours, pushing myself to think creatively, and seeking out mentors and feedback to help me perfect my project. Let's get this win!","['English', 'Catalan', 'Spanish']","['ae5a6bbe-8911-4195-9589-4ce25d6ddc8e', 'b8d50918-f0b5-4452-aae3-c097eafd99ab']",4,"{'iOS Development': 4, 'UI/UX Design': 4, 'Java': 2, 'Rust': 4, 'JavaScript': 5}","['AED Challenge', 'Mango Challenge', 'Restb.ai Challenge']"
14cf6a5f-7e48-49c8-9e59-522fe1178ad8,Alessandra Pérez Oliveira,Intermediate,5,"Hey! My objective for this datathon is to make the most of the experience and have an absolute blast. I'm all about learning new things and networking, but I'm more interested in the social aspect and having fun with my fellow participants. I'm hoping to take advantage of all the events, workshops, and activities the datathon has to offer, and meet some amazing people who share similar interests. I'm looking forward to sharing laughter, creating memories, and making new friends!","['English', 'Catalan', 'Portuguese']",[],4,"{'Agile Methodology': 6, 'PostgreSQL': 6, 'iOS Development': 3, 'Flask': 6, 'HTML/CSS': 4, 'Flutter': 7}","['Mango Challenge', 'Restb.ai Challenge', 'AED Challenge']"
359f324b-b3ec-4770-8a60-86493503fee4,Alessia Winston,Intermediate,5,"My objective for this datathon is to bring home the win! I'm a competitive person and I thrive under pressure, so I'm going all out to make this the best hackathon experience I've had yet. I'm looking forward to tackling complex challenges, working with a tight-knit team, and pushing myself to deliver a winning solution. I'm not just in it for the glory, though - I also want to prove to myself that I've got what it takes to be a top-notch developer. So, expect to see me intensely focused on problem-solving and code-crafting my way to victory!","['English', 'Italian']",[],4,"{'PostgreSQL': 3, 'IoT': 6, 'Blockchain': 7, 'Python': 5}","['Restb.ai Challenge', 'AED Challenge', 'Mango Challenge']"
7961223b-759b-43e9-b817-99f9d6878f46,Antoine Lefebvre.,Intermediate,2,"Hey, it's me, Antoine! My objective for this datathon is to make some amazing friends, have a blast, and soak up as many experiences as I can. I'm all about vibing with fellow participants, sharing stories, and picking each other's brains. I'm hoping to attend panels, join workshops, and jam out with the dev community. Bring on the swag, the laughter, and the memories! My goal is to leave with new connections, a spring in my step, and a sense of adventure. I'm in it for the ride, and I'm stoked to share it with everyone!",['French'],[],4,"{'Docker': 3, 'Data Visualization': 4, 'SQL': 6, 'Python': 6, 'Natural Language Processing': 2, 'JavaScript': 7, 'React Native': 4, 'C++': 2}","['Restb.ai Challenge', 'Mango Challenge', 'AED Challenge']"
9fe09efc-d630-48c7-9a4d-f0cf09670a13,Ava Wynter,Beginner,0,"I'm stoked to be at this datathon! My goal is to come away with some awesome new skills and knowledge to take back to my university degree. I've just started learning to code, and I'd love to gain more confidence and experience with real-world projects. I'm all about absorbing as much as I can from the workshops and mentorship sessions, and I'm excited to collaborate with other participants to build something innovative. My primary focus is on leveling up my skills, and I'm excited to see where this journey takes me!",['English'],[],4,"{'Rust': 1, 'Go': 4}","['AED Challenge', 'Restb.ai Challenge', 'Mango Challenge']"
b5af3cda-f580-4f90-a73a-4f13801dcc57,Sofia Rose Navarro,Intermediate,2,"My objective for this datathon is all about the vibes! I'm not here to stress about winning, and I'm not trying to level up my coding skills (at least, not too much, haha!). I'm looking forward to making new friends, having a blast, and participating in as many events as I can. I want to soak up the datathon atmosphere, try new things, and walk away with some amazing memories. I'm all about having fun and learning from the experience, so bring on the datathon shenanigans!","['English', 'Spanish']",[],4,"{'Blockchain': 4, 'PostgreSQL': 2, 'Computer Vision': 5, 'Python': 3, 'TypeScript': 6}","['Mango Challenge', 'AED Challenge', 'Restb.ai Challenge']"
